trigram,count
stem cell therapy,34
stem cell treatment,24
be not a,16
be able to,16
of stem cell,15
< br/ >,13
i be a,12
the stem cell,11
my stem cell,11
own stem cell,11
stem cell be,11
i have have,10
the right to,9
have stem cell,9
this be not,9
draft guidance on,9
in the donor,9
use my own,8
should not be,8
hct p guidance,8
my own body,8
the draft guidance,8
the use of,8
out of the,7
i have be,7
not a drug,7
adult stem cell,7
four hct p,7
own body part,7
< br/><br/ >,7
cellular and tissue,7
cell therapy i,6
a stem cell,6
and i be,6
the fda to,6
my own stem,6
cell treatment be,6
stem cell procedure,6
the united states,6
no option patient,6
i have to,6
the four hct,6
p guidance document,6
responsible stem cell,6
human cells tissues,6
able to use,6
use of stem,6
guidance on minimal,6
on minimal manipulation,6
see attach file(s,5
right to use,5
i be able,5
in the united,5
have have no,5
range of motion,5
cell be not,5
with stem cell,5
to do with,5
stem cell for,5
of the business,5
the business of,5
business of regulate,5
of regulate a,5
regulate a person&#39;s,5
a person&#39;s use,5
person&#39;s use of,5
use of his,5
access to responsible,5
to responsible stem,5
stem cell injection,5
to the regulation,5
cells tissues and,5
tissues and cellular,5
and cellular and,5
use their own,5
stem cell to,5
i do not,5
continue access to,5
have the right,5
structural and non-,5
and non- structural,5
non- structural functionality,5
in the recipient,5
of homologous use,5
fda have conclude,5
and tissue -based,5
tissue -based products,5
stem cell from,4
treatment i have,4
i have suffer,4
to use my,4
my own cell,4
quality of life,4
out of pocket,4
cell therapy be,4
i could not,4
the cost of,4
that i could,4
to use they,4
< br/><br/>i be,4
get out of,4
cell be my,4
be my own,4
my body and,4
our own body,4
of his own,4
his own body,4
cell therapy that,4
therapy that use,4
that use the,4
use the patients&#39,4
the patients&#39 own,4
autologous stem cell,4
i have a,4
relate to the,4
the regulation of,4
regulation of human,4
of human cells,4
to use their,4
their own cell,4
of the fda,4
allow patient to,4
than minimally manipulate,4
body be not,4
i should be,4
of minimal manipulation,4
through notice and,4
notice and comment,4
structural or non-,4
tissue as structural,4
as structural or,4
tissue have both,4
have both structural,4
both structural and,4
functionality in the,4
guidance on homologous,4
on homologous use,4
definition of homologous,4
have conclude that,4
conclude that micronized,4
when intend for,4
bone void filler,4
strength and compressibility,4
tensile strength and,4
strength and elasticity,4
function in the,4
whom it may,3
have have a,3
a lot of,3
a well quality,3
in stem cell,3
i know that,3
cell from my,3
treatment be not,3
well quality of,3
would like to,3
i have the,3
cell therapy this,3
therapy this be,3
i be in,3
be in a,3
be no long,3
they do not,3
my insurance company,3
they have be,3
therapy i be,3
and i have,3
i be not,3
thank you for,3
to do so,3
be diagnose with,3
a number of,3
cell therapy to,3
multiple sclerosis in,3
the age of,3
that this be,3
i still have,3
but i have,3
do not take,3
with my own,3
and should be,3
should be allow,3
stem cell and,3
access to this,3
the fda have,3
a no option,3
from my own,3
cell therapy have,3
have never be,3
from my body,3
around the world,3
own body tissue,3
patients&#39 own tissue,3
of the four,3
the same day,3
that i have,3
guidance relate to,3
request for comment,3
the federal government,3
part of my,3
