word,count
cell,44
use,40
stem,35
therapy,22
treatment,21
patient,16
tissue,15
study,12
regulate,12
bone,11
hct,10
part,10
would,9
make,9
intervention,9
marrow,9
body,9
homologous,8
regulation,8
consider,8
benefit,8
business,8
person&#39;s,8
need,7
information,7
research,7
responsible,7
style='padding,7
30px'></span,7
four,7
cells,6
include,6
cfr,6
medicine,6
please,6
access,6
withdraw,6
base,5
decision,5
well,5
healthcare,5
health,5
procedure,5
field,5
left,5
project,5
patients&#39,5
many,4
year,4
take,4
may,4
practice,4
relate,4
human,4
tissues,4
cellular,4
facilitate,4
inform,4
professional,4
clinical,4
exist,4
able,4
could,4
great,4
people,4
live,4
work,4
technology,4
function,4
government,4
get,4
whether,3
adipose,3
new,3
potentially,3
involve,3
care,3
risk,3
cost,3
unproven,3
offer,3
life,3
find,3
difficult,3
1271,3
outcome,3
available,3
medical,3
registry,3
conduct,3
greatly,3
without,3
develop,3
future,3
disease,3
example,3
attach,3
regenablemed,3
social,3
science,3
regenerative,3
product,3
prof,3
leave,3
basic,3
fda-2015,3
d-3719,3
document,3
continue,3
help,3
challenge,2
also,2
autologous,2
area,2
must,2
type,2
drive,2
useful,2
quot;draft,2
wish,2
propose,2
certain,2
measure,2
making,2
participant,2
br/><br/>the,2
prove,2
know,2
seek,2
expert,2
save,2
design,2
evaluate,2
safety,2
insurer,2
cgtp,2
already,2
publish,2
choice,2
compare,2
u.s.,2
list,2
wide,2
variety,2
condition,2
level,2
detailed,2
researcher,2
non,2
br/><br/>stem,2
current,2
novel,2
upon,2
support,2
innovation,2
travel,2
arthritis,2
long,2
drug,2
favor,2
wife,2
clinic,2
normal,2
test,2
month,2
cure,2
slow,2
physical,2
person,2
reduce,2
show,2
much,2
products,2
hearing,2
request,2
consortium,2
sussex,2
york,2
andrew,2
webster,2
studies,2
university,2
aim,2
within,2
regulatory,2
effective,2
package,2
call,2
readiness&#39,2
alex,2
faulkner,2
global,2
company,2
relevant,2
give,2
minimal,2
manipulation,2
clarify,2
especially,2
regard,2
quot;minimally,2
another,2
article&quot,2
moreover,2
derive,2
limit,2
ventricular,2
remodeling,2
hematopoietic,2
osteopoesis,2
feel,2
agree,2
documents.<br/><br/>get,2
parts.<br/,2
johnson,2
documents.<br/>get,2
number,2
million,2
patient&#39;s,2
allow,2
personally,2
increase,2
br/><br/>2,2
br/><br/>3,2
surgery,2
pain,2
serious,2
terminology,1
view,1
sufficiently,1
descriptive,1
face,1
ps.<br/><br/>there,1
question,1
vs.,1
allogeneic,1
us.<br/><br/>autologous,1
cosmetic,1
surgeon,1
quot;fill&quot,1
br/><br/>care,1
create,1
away,1
harmful,1
ground,1
perhaps,1
guise,1
quot;cosmetic,1
surgery&quot;.<br/><br/,1
products&quot,1
br/><br/>i,1
concerned,1
introduction,1
stakeholder,1
system,1
reliable,1
accurate,1
payer,1
program,1
depend,1
effectiveness,1
helsinki,1
declaration,1
say,1
interventions,1
practice:<br/>37,1
individual,1
ineffective,1
physician,1
advice,1
informed,1
consent,1
legally,1
authorize,1
representative,1
physician&#39;,1
judgement,1
hope,1
establish,1
alleviate,1
suffering,1
subsequently,1
object,1
efficacy,1
case,1
record,1
appropriate,1
publicly,1
available.<br/><br/>most,1
reimburse,1
time,1
pay,1
domain,1
currently,1
accurately,1
profile,1
qualify,1
never,1
br/>intervention,1
establishment,1
rely,1
empirical,1
experience,1
brief,1
overview,1
illustrate,1
scope,1
extent,1
gap,1
br/><br/>creation,1
br/>to,1
suggest,1
creation,1
report,1
undertaking,1
worthwhile,1
anonymize,1
dataset,1
indication,1
truly,1
br/><br/>in,1
total,1
"5,298",1
globally,1
january,1
2016,1
clinicaltrials.gov,1
highly,1
market,1
europe,1
popular,1
destination,1
china,1
iran,1
israel,1
middle,1
america,1
fig,1
manner,1
assess,1
term,1
often,1
overlap,1
low,1
general,1
high,1
therefore,1
judge,1
specific,1
evaluation,1
scrutiny,1
objective,1
task,1
even,1
experienced,1
biomedical,1
virtually,1
impossible,1
whose,1
option,1
either,1
limited,1
existent,1
willing,1
undergo,1
experimental,1
advantage,1
cutting,1
edge,1
associate,1
themselves.<br/>to,1
protect,1
interest,1
rapidly,1
wise,1
substantial,1
improvement,1
environment,1
provide,1
party,1
br/><br/,1
california,1
1/2,1
ago,1
knee,1
tear,1
meniscus,1
anti,1
inflammatory,1
harvest,1
abdominal,1
fat,1
br/,1
want,1
diagnose,1
early,1
onset,1
mayo,1
receive,1
panama,1
umbilical,1
cord,1
birth,1
donor,1
every,1
prior,1
alzheimers,1
however,1
progress,1
rapid,1
shape,1
average,1
diagnosis,1
beyond,1
suppose,1
inflammation,1
brain,1
think,1
gym,1
everyday,1
rowing,1
machine,1
minute,1
fairly,1
photo,1
aging,1
less,1
alzheimer,1
39;draft,1
tissue-,1
based,1
comments&#39,1
br/><br/>regenablemed,1
united,1
kingdom,1
economic,1
council,1
esrc)-funde,1
nes,1
l002779/1,1
http://www.york.ac.uk/satsu/regenablemed/,1
bring,1
together,1
team,1
build,1
birmingham,1
edinburgh,1
coordinate,1
unit,1
examine,1
dynamic,1
mixed,1
method,1
approach,1
undertake,1
analysis,1
interplay,1
model,1
utility,1
pattern,1
oversight,1
workflow,1
setting,1
result,1
strategy,1
development,1
services.<br/><br/>all,1
39;institutional,1
capacity,1
willingness,1
key,1
pre,1
organisation,1
inter,1
organisational,1
structure,1
adopt,1
respond,1
utilise,1
advanced,1
medicinal,1
one,1
lead,1
centre,1
policy,1
school,1
deal,1
role,1
range,1
intermediary,1
agency,1
group,1
insurance,1
determine,1
39;healthcare,1
align,1
embed,1
far,1
change,1
regular,1
